Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,76325.992188,77678.593750,76255.843750,77678.593750,77678.593750,792460800
2016-12-16,77802.820313,77904.148438,77425.460938,77589.648438,77589.648438,606706100
2016-12-19,77741.437500,77937.023438,77157.789063,77157.789063,77157.789063,513851300
2016-12-20,77009.421875,77875.023438,76883.742188,77807.890625,77807.890625,498546100
2016-12-21,77988.679688,78203.468750,77558.500000,77619.468750,77619.468750,469901700
2016-12-22,77739.960938,77867.046875,77251.007813,77404.742188,77404.742188,533016200
2016-12-23,77443.398438,77588.757813,76902.640625,76972.148438,76972.148438,421396700
2016-12-26,77086.000000,77257.171875,77028.468750,77028.468750,77028.468750,186087800
2016-12-27,77164.390625,77265.906250,76592.742188,76699.406250,76699.406250,344378300
2016-12-28,76687.742188,77549.132813,76514.257813,77547.710938,77547.710938,422700800
2016-12-29,77504.171875,77953.460938,77457.890625,77835.851563,77835.851563,393000200
2016-12-30,77959.523438,78371.859375,77765.421875,78138.656250,78138.656250,359261000
2017-01-02,77907.203125,77969.070313,77570.078125,77754.460938,77754.460938,306855200
2017-01-03,77866.960938,77951.890625,76618.203125,76618.203125,76618.203125,691919400
2017-01-04,76805.976563,77022.242188,75836.562500,76143.593750,76143.593750,579313900
2017-01-05,76386.390625,76808.593750,75656.750000,76386.296875,76386.296875,784623300
2017-01-06,76259.867188,77150.218750,76145.046875,77106.570313,77106.570313,496863800
2017-01-09,76786.898438,77634.898438,76636.382813,77394.437500,77394.437500,504826600
2017-01-10,77195.789063,77733.148438,77141.687500,77393.687500,77393.687500,748360900
2017-01-11,77100.109375,77806.906250,76650.328125,77666.578125,77666.578125,797530700
2017-01-12,77992.421875,81090.328125,77899.726563,80891.039063,80891.039063,1410872800
2017-01-13,80783.000000,81642.148438,80358.937500,81524.320313,81524.320313,1110546500
2017-01-16,81662.453125,82160.046875,81345.000000,81711.687500,81711.687500,810555900
2017-01-17,82103.398438,82540.906250,81657.109375,82362.773438,82362.773438,946122500
2017-01-18,82510.828125,82895.242188,82119.437500,82779.250000,82779.250000,986022100
2017-01-19,82964.101563,83317.742188,82028.437500,82300.320313,82300.320313,886827700
2017-01-20,82350.960938,83261.992188,81997.218750,83067.148438,83067.148438,718771200
2017-01-23,83429.507813,83575.546875,82899.812500,83047.796875,83047.796875,720346400
2017-01-24,83195.898438,84262.226563,82880.210938,84207.890625,84207.890625,936651800
2017-01-25,84129.382813,84278.031250,82811.148438,83128.257813,83128.257813,823625200
2017-01-26,83418.812500,84025.296875,82922.632813,83826.539063,83826.539063,750609700
2017-01-27,83578.960938,84209.343750,83441.562500,83827.390625,83827.390625,689085200
2017-01-30,83670.046875,86279.773438,83650.453125,86237.539063,86237.539063,1083558400
2017-01-31,86293.796875,86717.046875,85925.101563,86295.718750,86295.718750,1028813400
2017-02-01,86390.039063,86920.132813,86000.859375,86847.960938,86847.960938,806358100
2017-02-02,87166.867188,87675.101563,86819.296875,87394.187500,87394.187500,1080650500
2017-02-03,87343.039063,88389.500000,87047.453125,88389.500000,88389.500000,927694500
2017-02-06,89121.968750,89537.820313,87339.562500,87357.859375,87357.859375,1080657400
2017-02-07,87154.796875,88075.328125,86877.273438,87476.726563,87476.726563,876064600
2017-02-08,87598.976563,88386.492188,87316.367188,88249.078125,88249.078125,844006400
2017-02-09,88383.007813,89005.101563,87846.476563,88830.210938,88830.210938,937209300
2017-02-10,89119.898438,89370.078125,87318.539063,87473.328125,87473.328125,1026343400
2017-02-13,87731.523438,88814.007813,87528.570313,88578.312500,88578.312500,730811600
2017-02-14,88848.523438,88870.617188,87504.687500,88082.210938,88082.210938,974567600
2017-02-15,88294.257813,88539.937500,87726.109375,87881.968750,87881.968750,750217900
2017-02-16,88246.070313,88463.906250,87997.500000,88186.859375,88186.859375,622434300
2017-02-17,88134.812500,88998.406250,88069.726563,88830.406250,88830.406250,613434800
2017-02-20,89458.718750,89583.281250,88467.937500,88587.656250,88587.656250,688679800
2017-02-21,88719.843750,89282.601563,88719.843750,88965.140625,88965.140625,607917200
2017-02-22,88833.257813,89095.343750,87467.140625,88531.281250,88531.281250,684396000
2017-02-23,88851.328125,89270.750000,88736.601563,89138.367188,89138.367188,650613300
2017-02-24,89201.953125,89242.500000,87892.671875,88258.453125,88258.453125,619814600
2017-02-27,88416.679688,88547.273438,87706.039063,87765.406250,87765.406250,507331800
2017-02-28,87740.992188,88013.406250,87244.992188,87478.328125,87478.328125,822647000
2017-03-01,87720.109375,89344.062500,87638.929688,89320.250000,89320.250000,942741600
2017-03-02,89460.062500,90043.281250,89417.382813,89933.882813,89933.882813,810648300
2017-03-03,89853.171875,89879.781250,89365.328125,89722.046875,89722.046875,778432600
2017-03-06,90065.148438,91437.773438,90065.148438,91044.992188,91044.992188,720740200
2017-03-07,91380.632813,91422.218750,90621.312500,90813.609375,90813.609375,773425700
2017-03-08,90881.171875,90966.812500,89136.398438,89484.898438,89484.898438,868635000
2017-03-09,89196.218750,89493.671875,88648.562500,89002.562500,89002.562500,664605500
2017-03-10,89331.328125,89924.898438,89324.343750,89611.398438,89611.398438,560763100
2017-03-13,89550.546875,89674.562500,88921.132813,89429.726563,89429.726563,575735900
2017-03-14,89572.507813,89610.101563,89094.656250,89136.531250,89136.531250,622007600
2017-03-15,89372.601563,90013.812500,89372.601563,89445.546875,89445.546875,650948700
2017-03-16,90348.343750,90828.742188,90137.773438,90268.320313,90268.320313,717977700
2017-03-17,90535.070313,90843.671875,90102.296875,90491.390625,90491.390625,656642700
2017-03-20,90261.593750,90902.109375,90132.062500,90902.109375,90902.109375,579920200
2017-03-21,91185.250000,91497.000000,90440.132813,90606.460938,90606.460938,896629300
2017-03-22,89982.398438,90182.156250,89277.359375,89809.093750,89809.093750,841667600
2017-03-23,90121.093750,90193.632813,89601.328125,89764.109375,89764.109375,633490100
2017-03-24,89869.453125,90382.710938,89657.406250,90382.710938,90382.710938,542877600
2017-03-27,90290.671875,90390.328125,89514.476563,89695.046875,89695.046875,645998900
2017-03-28,90134.820313,90338.632813,89846.390625,90181.726563,90181.726563,612285500
2017-03-29,89242.593750,89504.000000,88818.562500,89269.718750,89269.718750,695685600
2017-03-30,89427.710938,89650.828125,89112.867188,89282.250000,89282.250000,545277000
2017-03-31,89283.976563,89573.000000,88886.890625,88947.398438,88947.398438,632363500
2017-04-03,89020.468750,89069.687500,88576.960938,88669.468750,88669.468750,447346000
2017-04-04,88058.093750,88752.851563,87997.703125,88612.546875,88612.546875,496495600
2017-04-05,88199.289063,89037.453125,88129.921875,89037.453125,89037.453125,620394300
2017-04-06,88580.468750,88895.976563,88527.593750,88679.039063,88679.039063,567680900
2017-04-07,88364.296875,88840.750000,88351.210938,88497.328125,88497.328125,579872700
2017-04-10,88765.781250,91343.070313,88730.812500,91240.453125,91240.453125,917122000
2017-04-11,91303.968750,91832.031250,90836.382813,90904.492188,90904.492188,814313600
2017-04-12,91256.437500,91542.828125,90952.156250,90952.156250,90952.156250,717892900
2017-04-13,91200.726563,91284.718750,89735.593750,89870.679688,89870.679688,682112500
2017-04-14,89680.960938,90566.023438,89347.460938,90063.687500,90063.687500,487293800
2017-04-17,90731.328125,90991.906250,90052.398438,90653.796875,90653.796875,655619100
2017-04-18,90472.992188,91982.281250,90397.148438,91373.781250,91373.781250,785926400
2017-04-19,91582.843750,91888.679688,90434.320313,90804.132813,90804.132813,919227700
2017-04-20,91165.921875,92116.570313,91148.078125,92039.382813,92039.382813,752852800
2017-04-21,92651.703125,92909.296875,92326.500000,92423.929688,92423.929688,698086900
2017-04-24,92920.007813,93802.812500,92770.718750,93802.812500,93802.812500,823958900
2017-04-25,94217.429688,94634.906250,93188.148438,94634.906250,94634.906250,905816700
2017-04-26,94673.156250,95038.976563,94284.406250,94522.343750,94522.343750,872700400
2017-04-27,94698.429688,95196.453125,94207.000000,94282.476563,94282.476563,738446500
2017-04-28,94422.796875,94965.203125,93945.960938,94655.312500,94655.312500,740480300
2017-05-01,null,null,null,null,null,null
2017-05-02,94994.039063,95358.757813,94312.007813,94355.906250,94355.906250,701446100
2017-05-03,94396.382813,94665.218750,93655.429688,93862.742188,93862.742188,713794500
2017-05-04,93706.992188,94073.140625,92999.812500,93038.492188,93038.492188,764798300
2017-05-05,93113.718750,94106.757813,93113.718750,93928.390625,93928.390625,754807000
2017-05-08,94332.632813,94530.867188,93717.210938,93832.703125,93832.703125,790609500
2017-05-09,93845.429688,95347.507813,93673.289063,95323.382813,95323.382813,806420300
2017-05-10,95114.648438,96194.203125,94968.757813,96194.203125,96194.203125,941913000
2017-05-11,96473.656250,96491.031250,95015.453125,95114.062500,95114.062500,901977000
2017-05-12,95286.523438,95742.421875,94684.367188,94996.351563,94996.351563,758158000
2017-05-15,95569.289063,95824.570313,95210.179688,95587.750000,95587.750000,592672900
2017-05-16,96013.546875,96357.460938,95716.132813,96161.500000,96161.500000,867711000
2017-05-17,95915.101563,96629.148438,95396.742188,95724.953125,95724.953125,1107083200
2017-05-18,95469.523438,95628.390625,94363.648438,95147.343750,95147.343750,904489100
2017-05-19,null,null,null,null,null,null
2017-05-22,95855.320313,96468.492188,95855.320313,96400.031250,96400.031250,886945500
2017-05-23,96232.851563,97776.328125,96143.007813,97717.476563,97717.476563,965888000
2017-05-24,97733.359375,98794.898438,97700.710938,98313.773438,98313.773438,1196448200
2017-05-25,98200.890625,98222.210938,97393.687500,97712.937500,97712.937500,1081744800
2017-05-26,97734.437500,97988.148438,97177.539063,97533.281250,97533.281250,850963300
2017-05-29,97695.453125,98181.789063,97461.703125,97725.953125,97725.953125,565343000
2017-05-30,97830.328125,97958.109375,97146.882813,97347.632813,97347.632813,843274700
